window,start,end,train_days,train_rows,test_items,test_rows,test_nonzero,true_mean,XGB_Single_MAE,XGB_Single_RMSE,XGB_Single_Bias,XGB_Single_wMAPE,XGB_Single_R2_nonzero,XGB_Single_pct_within_20pct,XGB_Single_pct_within_50pct,XGB_Single_item_MAE_median,XGB_Poisson_MAE,XGB_Poisson_RMSE,XGB_Poisson_Bias,XGB_Poisson_wMAPE,XGB_Poisson_R2_nonzero,XGB_Poisson_pct_within_20pct,XGB_Poisson_pct_within_50pct,XGB_Poisson_item_MAE_median,XGB_Hurdle_MAE,XGB_Hurdle_RMSE,XGB_Hurdle_Bias,XGB_Hurdle_wMAPE,XGB_Hurdle_R2_nonzero,XGB_Hurdle_pct_within_20pct,XGB_Hurdle_pct_within_50pct,XGB_Hurdle_item_MAE_median,RF_Single_MAE,RF_Single_RMSE,RF_Single_Bias,RF_Single_wMAPE,RF_Single_R2_nonzero,RF_Single_pct_within_20pct,RF_Single_pct_within_50pct,RF_Single_item_MAE_median,DowBaseline_mean_MAE,DowBaseline_median_MAE,DowBaseline_p75_MAE
1,2026-02-03,2026-02-09,618,37698,61,427,265,1.4964871194379392,0.7919928472777021,1.2519164056663998,0.16862506924559137,52.92346569445678,0.25835037833144747,22.264150943396228,52.075471698113205,0.6395563270364489,0.7138783976836981,1.2057197290967383,0.01709247644842369,47.70361123801863,0.30279062828693526,23.0188679245283,55.84905660377358,0.6198730655014515,0.7516459589657517,1.2752579917449356,0.1300719769949937,50.227359073298274,0.21989563851839566,23.39622641509434,49.81132075471698,0.6513338547665626,0.765489132015588,1.2710292344235778,0.20362976097667426,51.15240365737967,0.2250602582448119,22.264150943396228,49.81132075471698,0.6514618548966534,1.6173381685967174,1.334894613583138,2.011709601873536
2,2026-02-10,2026-02-16,625,38125,61,427,280,1.5386416861826697,0.7259625807702781,1.2172468535486793,-0.027932825372052713,47.182042920686264,0.34601328691534794,16.785714285714285,56.785714285714285,0.5769317713233509,0.7143398271808161,1.2282723580453307,-0.0675153062532741,46.426652390594896,0.33283934764847667,21.071428571428573,57.14285714285714,0.5884514508236732,0.7087496722689465,1.2471494247161645,-0.0912990196168655,46.06333486435923,0.31204666789061564,22.5,57.14285714285714,0.5562604110746179,0.7199037107295598,1.2298200046978554,-0.0030874215663819946,46.78826247816165,0.3310320775430383,21.785714285714285,52.85714285714286,0.5777558116655721,1.5782232488544077,1.3489461358313817,1.946135831381733
3,2026-02-17,2026-02-23,632,38552,61,427,248,1.1428571428571428,0.5907285309161912,1.0599609031157178,0.2181524656070373,51.68874645516672,-0.06014546758654449,23.790322580645164,53.62903225806451,0.4724437754069056,0.5864229772972768,1.0596711196566344,0.207321487048715,51.312010513511716,-0.06106595321811081,27.016129032258064,54.03225806451613,0.45605862646230627,0.584456589382401,1.0673453030033215,0.22657510701462857,51.139951570960086,-0.07682983766257712,25.403225806451612,53.62903225806451,0.45121909672993105,0.5916988029172998,1.0707835182906242,0.26377372507467123,51.77364525526373,-0.08377922663940107,25.806451612903224,50.806451612903224,0.4444677962991463,1.504527204247335,1.2201405152224825,1.990632318501171
4,2026-02-24,2026-03-02,639,38979,61,427,220,1.0468384074941453,0.5934876080091761,1.4172526786656323,0.17585621080653027,56.693335261726666,-0.889166868459121,21.818181818181817,54.090909090909086,0.3786929574728545,0.4991909874040433,0.9212851537404713,0.0843128864795179,47.685582018238584,0.19993487893139594,26.81818181818182,57.27272727272727,0.3918584280514291,0.5953493956514108,1.7835039756246922,0.18444635975496657,56.87118387989987,-1.999793112936127,23.636363636363637,55.00000000000001,0.3701209457524653,0.5380185208635937,1.0143246510261237,0.21361763300491785,51.39461038227171,0.029719694491668558,24.545454545454547,50.45454545454545,0.380885047001076,1.588680642539391,1.3372365339578454,2.0960187353629975
5,2026-03-03,2026-03-09,646,39406,61,427,209,0.8665105386416861,0.4764565191957151,0.9223221116505412,0.1709573256557718,54.98565775582982,-0.28168726076381345,21.5311004784689,51.196172248803826,0.33956844459420865,0.4616030161345347,0.8670586285893632,0.13537000351971498,53.27148321336387,-0.13382076725976577,24.401913875598087,50.23923444976076,0.34312353442822185,0.47415050132050446,1.0173039187804078,0.15781462723649634,54.719530828069026,-0.5616344040614465,23.444976076555022,52.15311004784689,0.3369075027627072,0.5011116306011774,0.9404749200959109,0.2350238054404015,57.83099088289263,-0.3346659822397371,20.095693779904305,48.32535885167464,0.3864588332511443,1.6028358218895242,1.234192037470726,2.1733021077283374
6,2026-03-10,2026-03-16,653,39833,61,427,277,1.5128805620608898,0.7377268398391624,1.4245819720380923,-0.24604006212851387,48.763058918161356,0.2004422371972231,22.743682310469314,57.400722021660656,0.5004625961716687,0.7374786525502347,1.4491739219547304,-0.30809046440175464,48.746653968877744,0.17243206235507658,23.104693140794225,55.95667870036101,0.47068320707018885,0.7517583483260082,1.49188433365965,-0.3226135194457212,49.690528596781036,0.12281412422630411,24.187725631768952,54.151624548736464,0.5238344943520913,0.721814376441893,1.387184559483679,-0.13678284113246408,47.71125986697961,0.24161474425108775,23.826714801444044,54.87364620938629,0.5298529365477462,1.6300721570897276,1.440281030444965,2.098360655737705
7,2026-03-17,2026-03-23,660,40260,61,427,272,1.8477751756440282,0.8372434532429055,1.6304202986064391,-0.3315762980945792,45.31089411086447,0.29809144480454663,24.264705882352942,65.07352941176471,0.7292496932870043,0.8188334485380725,1.6604622714703163,-0.36026536248868607,44.31456052290962,0.26899541033767604,24.63235294117647,65.80882352941177,0.6790358798046197,0.7920534934607129,1.6207261944855822,-0.289327895053893,42.865252434439086,0.3034779866715298,27.205882352941174,63.23529411764706,0.6394199552762854,0.8144651249460864,1.6882502384778721,-0.3791199730091497,44.07815061495296,0.24423048980372353,27.573529411764707,63.970588235294116,0.6476160302244572,1.7503457774326874,1.6346604215456675,2.0351288056206087
8,2026-03-24,2026-03-30,667,40687,61,427,322,2.2224824355971897,1.2407870095853522,1.8769810307892874,0.5730194156298052,55.828878091985814,0.1759356477089017,23.60248447204969,50.621118012422365,1.1061330128993307,1.1209968121316658,1.7624108730925832,0.3919032526789211,50.4389503456503,0.26813863602696975,26.39751552795031,52.79503105590062,0.9847944754042796,1.13696883257542,1.7980443688674304,0.3979036100809239,51.15760711377285,0.23819146859009954,25.77639751552795,53.72670807453416,1.0027711729884945,1.1500409147756918,1.785145212442805,0.30908683658440866,51.74578193985463,0.24908251268352744,22.981366459627328,56.2111801242236,1.0204812751673067,1.718683007779901,1.6768149882903982,1.936768149882904
