,0
DOW_Avg,392
DOW_N_Samples,219
DaysFromStart,174
DayOfMonth,132
Day_Total_Qty_7D,131
Lag_7,110
Lag_1,103
Lag_28,87
Day_Total_Items_Sold,84
Lag_14,79
Sales_Last_7D,77
DOW_P75,73
Day_Total_Beverage,70
Day_Total_Food,62
WeekOfYear,56
Day_Total_Qty,53
Month,46
DOW,36
Month_Cos,33
DOW_Median,23
DOW_Sin,22
Month_Sin,17
DOW_Cos,14
Year,10
Is_Holiday_Season,2
WeekOfMonth,0
MonthEnd,0
MonthStart,0
Quarter,0
Is_Weekend,0
Days_Since_Last_Sale,0
