,0
Days_Since_Last_Sale,187
DaysFromStart,87
Day_Total_Qty,62
WeekOfYear,54
Sales_Last_7D,45
DOW,27
Month,27
DayOfMonth,25
Day_Total_Beverage,22
DOW_Avg,18
DOW_N_Samples,10
Day_Total_Qty_7D,9
Year,7
Day_Total_Food,6
Day_Total_Items_Sold,6
Lag_1,5
Lag_7,3
DOW_P75,2
Lag_28,2
Lag_14,2
DOW_Sin,1
DOW_Median,1
Is_Weekend,0
Is_Holiday_Season,0
WeekOfMonth,0
Quarter,0
Month_Cos,0
Month_Sin,0
MonthStart,0
MonthEnd,0
DOW_Cos,0
