Date,DOW,DOW_Name,Predicted,Actual,Error,Abs_Error,Pct_Error,Item,Period
2026-03-15,6,Sunday,1.41,2,-0.5900000000000001,0.5900000000000001,29.500000000000004,Chocolate Hot,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.46,2,0.45999999999999996,0.45999999999999996,23.0,Chocolate Hot,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.66,2,-0.3400000000000001,0.3400000000000001,17.000000000000004,Chocolate Hot,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.82,2,-0.17999999999999994,0.17999999999999994,8.999999999999996,Chocolate Hot,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.43,2,-0.5700000000000001,0.5700000000000001,28.500000000000004,Chocolate Hot,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.87,1,0.8700000000000001,0.8700000000000001,87.00000000000001,Chocolate Hot,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.67,1,1.67,1.67,167.0,Chocolate Ice,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,3.11,2,1.1099999999999999,1.1099999999999999,55.49999999999999,Chocolate Ice,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.52,1,0.52,0.52,52.0,Chocolate Ice,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,2.27,2,0.27,0.27,13.5,Chocolate Ice,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.89,1,0.8899999999999999,0.8899999999999999,88.99999999999999,Chocolate Ice,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,2.17,4,-1.83,1.83,45.75,Chocolate Ice,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.32,1,1.3199999999999998,1.3199999999999998,131.99999999999997,Cireng,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.39,1,0.3899999999999999,0.3899999999999999,38.99999999999999,Cireng,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.13,6,-3.87,3.87,64.5,Cireng,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.55,5,-3.45,3.45,69.0,Cireng,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.61,2,0.6099999999999999,0.6099999999999999,30.499999999999993,Cireng,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,2.03,4,-1.9700000000000002,1.9700000000000002,49.25000000000001,Cireng,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,1.76,2,-0.24,0.24,12.0,Donat,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.28,1,0.28,0.28,28.000000000000004,Donat,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.31,2,-0.69,0.69,34.5,Donat,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.56,4,-2.44,2.44,61.0,Donat,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.14,2,-0.8600000000000001,0.8600000000000001,43.00000000000001,Donat,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.19,1,0.18999999999999995,0.18999999999999995,18.999999999999993,Espresso,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.08,1,0.08000000000000007,0.08000000000000007,8.000000000000007,Espresso,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.97,1,0.97,0.97,97.0,Espresso,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,1.83,3,-1.17,1.17,38.99999999999999,Espresso,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,3.04,3,0.040000000000000036,0.040000000000000036,1.3333333333333344,Husgendam Platter,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.07,2,0.06999999999999984,0.06999999999999984,3.499999999999992,Husgendam Platter,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,3.25,6,-2.75,2.75,45.83333333333333,Husgendam Platter,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.58,5,-3.42,3.42,68.39999999999999,Husgendam Platter,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,2.57,10,-7.43,7.43,74.3,Husgendam Platter,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,3.5,2,1.5,1.5,75.0,Husgendam Platter,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,1.46,2,-0.54,0.54,27.0,Kasmaran,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,1.41,3,-1.59,1.59,53.0,Kasmaran,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.39,3,-1.61,1.61,53.66666666666667,Kasmaran,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.69,3,-1.31,1.31,43.66666666666667,Kasmaran,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.41,1,1.4100000000000001,1.4100000000000001,141.0,Kenang,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.02,5,-2.98,2.98,59.599999999999994,Kenang,2026-03-15 to 2026-03-21
2026-03-18,2,Wednesday,1.33,2,-0.6699999999999999,0.6699999999999999,33.5,Kenang,2026-03-15 to 2026-03-21
2026-03-19,3,Thursday,1.79,1,0.79,0.79,79.0,Kenang,2026-03-15 to 2026-03-21
2026-03-20,4,Friday,3.01,2,1.0099999999999998,1.0099999999999998,50.499999999999986,Kenang,2026-03-15 to 2026-03-21
2026-03-15,6,Sunday,2.32,5,-2.68,2.68,53.6,Kentang,2026-03-15 to 2026-03-21
2026-03-16,0,Monday,2.34,1,1.3399999999999999,1.3399999999999999,134.0,Kentang,2026-03-15 to 2026-03-21
2026-03-17,1,Tuesday,2.28,2,0.2799999999999998,0.2799999999999998,13.99999999999999,Kentang,2026-03-15 to 2026-03-21
