Date,Category,Quantity,UniqueItemCount,Net sales,Gross sales
2022-01-13,Milk Based,3.0,2,0.0,0.0
2022-01-13,Other,1.0,1,0.0,0.0
2022-01-13,Signature,2.0,1,0.0,0.0
2022-01-13,Signature Based,1.0,1,0.0,0.0
2022-01-13,Snack,4.0,4,0.0,0.0
2022-01-13,Tea Based,2.0,1,0.0,0.0
2022-01-14,Coffee Based,2.0,1,0.0,0.0
2022-01-14,Espresso Based,4.0,3,0.0,0.0
2022-01-14,Mie,1.0,1,0.0,0.0
2022-01-14,Milk Based,8.0,4,0.0,0.0
2022-01-14,Other,2.0,1,0.0,0.0
2022-01-14,Signature Based,1.0,1,0.0,0.0
2022-01-14,Snack,2.0,2,0.0,0.0
2022-01-14,Tea Based,2.0,2,0.0,0.0
2022-01-14,Toast,6.0,2,0.0,0.0
2022-01-15,Coffee Based,6.0,3,0.0,0.0
2022-01-15,Main Course,2.0,2,0.0,0.0
2022-01-15,Milk Based,1.0,1,0.0,0.0
2022-01-15,Other,2.0,1,0.0,0.0
2022-01-15,Signature Based,2.0,2,0.0,0.0
2022-01-15,Tea Based,4.0,2,0.0,0.0
2022-01-15,Toast,1.0,1,0.0,0.0
2022-01-16,Coffee Based,2.0,2,0.0,0.0
2022-01-16,Espresso Based,2.0,2,0.0,0.0
2022-01-16,Mie,5.0,3,0.0,0.0
2022-01-16,Milk Based,10.0,5,0.0,0.0
2022-01-16,Signature,1.0,1,0.0,0.0
2022-01-16,Signature Based,7.0,4,0.0,0.0
2022-01-16,Snack,6.0,3,0.0,0.0
2022-01-16,Tea Based,8.0,4,0.0,0.0
2022-01-16,Toast,2.0,2,0.0,0.0
2022-01-17,Coffee Based,7.0,3,0.0,0.0
2022-01-17,Main Course,5.0,2,0.0,0.0
2022-01-17,Mie,1.0,1,0.0,0.0
2022-01-17,Milk Based,6.0,5,0.0,0.0
2022-01-17,Other,1.0,1,0.0,0.0
2022-01-17,Signature Based,2.0,1,0.0,0.0
2022-01-17,Snack,2.0,1,0.0,0.0
2022-01-17,Tea Based,3.0,3,0.0,0.0
2022-01-18,Coffee Based,5.0,3,0.0,0.0
2022-01-18,Espresso Based,1.0,1,0.0,0.0
2022-01-18,Main Course,2.0,2,0.0,0.0
2022-01-18,Mie,2.0,2,0.0,0.0
2022-01-18,Milk Based,1.0,1,0.0,0.0
2022-01-18,Other,1.0,1,0.0,0.0
2022-01-18,Signature Based,4.0,2,0.0,0.0
2022-01-18,Tea Based,3.0,1,0.0,0.0
2022-01-19,Artisan Tea,1.0,1,0.0,0.0
2022-01-19,Coffee Based,5.0,2,0.0,0.0
2022-01-19,Espresso Based,4.0,2,0.0,0.0
2022-01-19,Mie,4.0,2,0.0,0.0
2022-01-19,Milk Based,3.0,3,0.0,0.0
2022-01-19,Signature Based,2.0,1,0.0,0.0
2022-01-19,Snack,5.0,4,0.0,0.0
2022-01-19,Tea Based,2.0,1,0.0,0.0
2022-01-20,Coffee Based,10.0,3,0.0,0.0
2022-01-20,Espresso Based,2.0,2,0.0,0.0
2022-01-20,Main Course,4.0,2,0.0,0.0
2022-01-20,Mie,1.0,1,0.0,0.0
2022-01-20,Milk Based,2.0,2,0.0,0.0
2022-01-20,Other,2.0,1,0.0,0.0
2022-01-20,Signature Based,4.0,3,0.0,0.0
2022-01-20,Snack,2.0,2,0.0,0.0
2022-01-20,Tea Based,4.0,2,0.0,0.0
2022-01-21,Artisan Tea,2.0,1,0.0,0.0
2022-01-21,Coffee Based,3.0,2,0.0,0.0
2022-01-21,Espresso Based,2.0,2,0.0,0.0
2022-01-21,Main Course,2.0,1,0.0,0.0
2022-01-21,Mie,3.0,3,0.0,0.0
2022-01-21,Other,1.0,1,0.0,0.0
2022-01-21,Signature,1.0,1,0.0,0.0
2022-01-21,Signature Based,6.0,5,0.0,0.0
2022-01-21,Snack,6.0,3,0.0,0.0
2022-01-21,Tea Based,3.0,3,0.0,0.0
2022-01-22,Artisan Tea,4.0,2,0.0,0.0
2022-01-22,Coffee Based,9.0,3,0.0,0.0
2022-01-22,Espresso Based,1.0,1,0.0,0.0
2022-01-22,Mie,5.0,2,0.0,0.0
2022-01-22,Milk Based,3.0,3,0.0,0.0
2022-01-22,Other,1.0,1,0.0,0.0
2022-01-22,Signature Based,4.0,3,0.0,0.0
2022-01-22,Snack,2.0,2,0.0,0.0
2022-01-22,Tea Based,6.0,4,0.0,0.0
2022-01-22,Toast,1.0,1,0.0,0.0
2022-01-23,Artisan Tea,1.0,1,0.0,0.0
2022-01-23,Coffee Based,10.0,3,0.0,0.0
2022-01-23,Espresso Based,6.0,3,0.0,0.0
2022-01-23,Main Course,1.0,1,0.0,0.0
2022-01-23,Other,3.0,1,0.0,0.0
2022-01-23,Signature Based,7.0,4,0.0,0.0
2022-01-23,Snack,1.0,1,0.0,0.0
2022-01-23,Tea Based,3.0,2,0.0,0.0
2022-01-23,Toast,2.0,2,0.0,0.0
2022-01-24,Artisan Tea,2.0,1,0.0,0.0
2022-01-24,Coffee Based,6.0,2,0.0,0.0
2022-01-24,Espresso Based,3.0,3,0.0,0.0
2022-01-24,Main Course,3.0,1,0.0,0.0
2022-01-24,Mie,2.0,1,0.0,0.0
2022-01-24,Milk Based,3.0,2,0.0,0.0
2022-01-24,Other,1.0,1,0.0,0.0
2022-01-24,Signature,1.0,1,0.0,0.0
2022-01-24,Signature Based,5.0,3,0.0,0.0
2022-01-24,Tea Based,5.0,3,0.0,0.0
2022-01-24,Toast,2.0,2,0.0,0.0
2022-01-25,Artisan Tea,3.0,1,0.0,0.0
2022-01-25,Coffee Based,9.0,3,0.0,0.0
2022-01-25,Espresso Based,1.0,1,0.0,0.0
2022-01-25,Mie,4.0,2,0.0,0.0
2022-01-25,Milk Based,2.0,2,0.0,0.0
2022-01-25,Other,1.0,1,0.0,0.0
2022-01-25,Signature,2.0,1,0.0,0.0
2022-01-25,Signature Based,6.0,4,0.0,0.0
2022-01-25,Snack,3.0,3,0.0,0.0
2022-01-25,Tea Based,1.0,1,0.0,0.0
2022-01-26,Artisan Tea,1.0,1,0.0,0.0
2022-01-26,Coffee Based,5.0,2,0.0,0.0
2022-01-26,Main Course,3.0,1,0.0,0.0
2022-01-26,Mie,1.0,1,0.0,0.0
2022-01-26,Milk Based,6.0,4,0.0,0.0
2022-01-26,Other,1.0,1,0.0,0.0
2022-01-26,Signature Based,2.0,2,0.0,0.0
2022-01-26,Snack,5.0,4,0.0,0.0
2022-01-26,Tea Based,5.0,2,0.0,0.0
2022-01-26,Toast,1.0,1,0.0,0.0
2022-01-27,Coffee Based,3.0,2,0.0,0.0
2022-01-27,Espresso Based,3.0,3,0.0,0.0
2022-01-27,Main Course,2.0,1,0.0,0.0
2022-01-27,Mie,3.0,1,0.0,0.0
2022-01-27,Milk Based,4.0,3,0.0,0.0
2022-01-27,Other,1.0,1,0.0,0.0
2022-01-27,Signature Based,2.0,2,0.0,0.0
2022-01-27,Snack,2.0,1,0.0,0.0
2022-01-27,Tea Based,2.0,2,0.0,0.0
2022-01-28,Artisan Tea,1.0,1,0.0,0.0
2022-01-28,Coffee Based,8.0,2,0.0,0.0
2022-01-28,Espresso Based,3.0,1,0.0,0.0
2022-01-28,Mie,4.0,1,0.0,0.0
2022-01-28,Milk Based,6.0,4,0.0,0.0
2022-01-28,Other,1.0,1,0.0,0.0
2022-01-28,Signature Based,8.0,5,0.0,0.0
2022-01-28,Snack,1.0,1,0.0,0.0
2022-01-28,Tea Based,5.0,3,0.0,0.0
2022-01-29,Artisan Tea,1.0,1,0.0,0.0
2022-01-29,Coffee Based,6.0,2,0.0,0.0
2022-01-29,Main Course,1.0,1,0.0,0.0
2022-01-29,Mie,3.0,1,0.0,0.0
2022-01-29,Milk Based,6.0,5,0.0,0.0
2022-01-29,Other,2.0,1,0.0,0.0
2022-01-29,Signature,4.0,2,0.0,0.0
2022-01-29,Signature Based,6.0,4,0.0,0.0
2022-01-29,Snack,2.0,2,0.0,0.0
2022-01-29,Tea Based,5.0,3,0.0,0.0
2022-01-29,Toast,1.0,1,0.0,0.0
2022-01-30,Artisan Tea,1.0,1,0.0,0.0
2022-01-30,Coffee Based,2.0,2,0.0,0.0
2022-01-30,Espresso Based,1.0,1,0.0,0.0
2022-01-30,Main Course,1.0,1,0.0,0.0
2022-01-30,Mie,1.0,1,0.0,0.0
2022-01-30,Milk Based,5.0,4,0.0,0.0
2022-01-30,Other,1.0,1,0.0,0.0
2022-01-30,Signature Based,3.0,3,0.0,0.0
2022-01-30,Snack,3.0,2,0.0,0.0
