antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Signature'}),frozenset({'Tea'}),0.2719374456993918,0.3443961772371851,0.07176368375325803,0.26389776357827477,0.7662621742648694,1.0,-0.021890532993257106,0.8906423460276088,-0.2952634611899483,0.13178047223994893,-0.12278514990909854,0.2361365709919628
frozenset({'Tea'}),frozenset({'Signature'}),0.3443961772371851,0.2719374456993918,0.07176368375325803,0.20837537840565085,0.7662621742648694,1.0,-0.021890532993257106,0.9197068085556439,-0.31753445944052033,0.13178047223994893,-0.08730303037600938,0.2361365709919628
frozenset({'snack'}),frozenset({'Signature'}),0.3660295395308427,0.2719374456993918,0.12797567332754126,0.34963209114645144,1.2857077856535644,1.0,0.02843853529699933,1.1194626063023585,0.3505183662696153,0.2509369676320272,0.10671424452215468,0.41011955995022253
frozenset({'Signature'}),frozenset({'snack'}),0.2719374456993918,0.3660295395308427,0.12797567332754126,0.4706070287539936,1.2857077856535644,1.0,0.02843853529699933,1.197542269926652,0.3052186776455111,0.2509369676320272,0.16495640687384766,0.41011955995022253
"frozenset({'snack', 'Signature'})",frozenset({'Tea'}),0.12797567332754126,0.3443961772371851,0.03197219808861859,0.24983027834351665,0.7254153642113714,1.0,-0.012102134584741409,0.873940661474775,-0.3026845095289555,0.07259814559084633,-0.1442424458343657,0.17133289901030524
"frozenset({'snack', 'Tea'})",frozenset({'Signature'}),0.14100781928757603,0.2719374456993918,0.03197219808861859,0.22674060382008626,0.8337969169230649,1.0,-0.006373108112086266,0.9415502196254081,-0.18834744751296414,0.08392246294184721,-0.06207823986047816,0.1721562444020559
"frozenset({'Signature', 'Tea'})",frozenset({'snack'}),0.07176368375325803,0.3660295395308427,0.03197219808861859,0.44552058111380144,1.217171110519785,1.0,0.0057045699693765335,1.1433615728111877,0.1922170291211564,0.07878398629843718,0.1253860337974311,0.2664346318813726
frozenset({'Signature'}),"frozenset({'snack', 'Tea'})",0.2719374456993918,0.14100781928757603,0.03197219808861859,0.11757188498402556,0.8337969169230648,1.0,-0.006373108112086266,0.9734415371578158,-0.2149383297481002,0.08392246294184721,-0.02728305894951612,0.1721562444020559
frozenset({'Signature'}),frozenset({'Coffee Base'}),0.2719374456993918,0.2570807993049522,0.05586446568201564,0.20543130990415337,0.7990923883057808,1.0,-0.014045430219331051,0.934996822748492,-0.25668636571813247,0.11806830701432244,-0.06952235095347849,0.21136722642892697
frozenset({'Coffee Base'}),frozenset({'Signature'}),0.2570807993049522,0.2719374456993918,0.05586446568201564,0.2173031429537006,0.7990923883057808,1.0,-0.014045430219331051,0.9301973653607511,-0.2528511558515908,0.11806830701432244,-0.0750406711936642,0.21136722642892697
frozenset({'Tea'}),frozenset({'Coffee Base'}),0.3443961772371851,0.2570807993049522,0.08714161598609904,0.2530272452068617,0.9842323732108748,1.0,-0.0013960285356064833,0.9945733574992128,-0.023852969155941366,0.16942567567567568,-0.00545625162776536,0.29599655602688474
frozenset({'Coffee Base'}),frozenset({'Tea'}),0.2570807993049522,0.3443961772371851,0.08714161598609904,0.33896586684690777,0.984232373210875,1.0,-0.0013960285356064833,0.9917851286069373,-0.021108704016241837,0.16942567567567568,-0.00828291447019504,0.29599655602688474
frozenset({'snack'}),frozenset({'Coffee Base'}),0.3660295395308427,0.2570807993049522,0.09869678540399653,0.26964158556847856,1.0488592936442003,1.0,0.004597618812183887,1.0171981126188614,0.07347860977017405,0.18820410868124587,0.01690733831051203,0.326777534926855
frozenset({'Coffee Base'}),frozenset({'snack'}),0.2570807993049522,0.3660295395308427,0.09869678540399653,0.38391348428523153,1.0488592936442,1.0,0.004597618812183887,1.029028300893163,0.06270300730826336,0.18820410868124587,0.028209429097302348,0.326777534926855
"frozenset({'snack', 'Signature'})",frozenset({'Coffee Base'}),0.12797567332754126,0.2570807993049522,0.02580364900086881,0.20162932790224034,0.7843033336109451,1.0,-0.0070964393897649455,0.9305442029113992,-0.239761996936594,0.07182587666263604,-0.0746399761250396,0.15100053755706813
"frozenset({'snack', 'Coffee Base'})",frozenset({'Signature'}),0.09869678540399653,0.2719374456993918,0.02580364900086881,0.261443661971831,0.9614110381136661,1.0,-0.0010357027206350233,0.9857914918778199,-0.04263446900961007,0.07482993197278912,-0.014413299606709437,0.1781659204427845
"frozenset({'Signature', 'Coffee Base'})",frozenset({'snack'}),0.05586446568201564,0.3660295395308427,0.02580364900086881,0.4618973561430793,1.261912786424601,1.0,0.005355604351144058,1.1781589771146477,0.2198330657887113,0.0651458653213424,0.1512181128144228,0.26619671984699655
