Date,Quantity,UniqueItemCount,Net sales,Gross sales
2022-06-01,53.0,25,0.0,0.0
2022-06-02,17.0,11,0.0,0.0
2022-06-03,48.0,25,0.0,0.0
2022-06-04,46.0,21,0.0,0.0
2022-06-05,29.0,19,0.0,0.0
2022-06-06,38.0,20,0.0,0.0
2022-06-07,30.0,20,0.0,0.0
2022-06-08,22.0,16,0.0,0.0
2022-06-09,26.0,17,0.0,0.0
2022-06-10,43.0,27,0.0,0.0
2022-06-11,70.0,26,0.0,0.0
2022-06-12,71.0,30,0.0,0.0
2022-06-13,116.0,27,0.0,0.0
2022-06-14,30.0,16,0.0,0.0
2022-06-15,8.0,6,0.0,0.0
2022-06-16,20.0,15,0.0,0.0
2022-06-17,31.0,13,0.0,0.0
2022-06-18,81.0,30,0.0,0.0
2022-06-19,10.0,8,0.0,0.0
2022-06-20,24.0,15,0.0,0.0
2022-06-21,31.0,18,0.0,0.0
2022-06-22,24.0,15,0.0,0.0
2022-06-23,46.0,22,0.0,0.0
2022-06-24,27.0,19,0.0,0.0
2022-06-25,50.0,23,0.0,0.0
2022-06-26,44.0,25,0.0,0.0
2022-06-27,31.0,19,0.0,0.0
2022-06-28,38.0,19,0.0,0.0
2022-06-29,19.0,14,0.0,0.0
2022-06-30,35.0,17,0.0,0.0
2022-07-01,49.0,24,0.0,0.0
2022-07-02,60.0,30,0.0,0.0
2022-07-03,54.0,25,0.0,0.0
2022-07-04,60.0,24,0.0,0.0
2022-07-05,46.0,23,0.0,0.0
2022-07-06,48.0,24,0.0,0.0
2022-07-07,26.0,19,0.0,0.0
2022-07-08,32.0,21,0.0,0.0
2022-07-09,67.0,31,0.0,0.0
2022-07-10,20.0,15,0.0,0.0
2022-07-11,20.0,12,0.0,0.0
2022-07-12,46.0,22,0.0,0.0
2022-07-13,28.0,15,0.0,0.0
2022-07-14,47.0,24,0.0,0.0
2022-07-15,14.0,9,0.0,0.0
2022-07-16,71.0,31,0.0,0.0
2022-07-17,54.0,28,0.0,0.0
2022-07-18,28.0,13,0.0,0.0
2022-07-19,23.0,16,0.0,0.0
2022-07-20,41.0,19,0.0,0.0
2022-07-21,48.0,24,0.0,0.0
2022-07-22,45.0,26,0.0,0.0
2022-07-23,47.0,28,0.0,0.0
2022-07-24,47.0,21,0.0,0.0
2022-07-25,29.0,19,0.0,0.0
2022-07-26,33.0,18,0.0,0.0
2022-07-27,31.0,19,0.0,0.0
2022-07-28,44.0,25,0.0,0.0
2022-07-29,22.0,14,0.0,0.0
2022-07-30,40.0,21,0.0,0.0
2022-07-31,46.0,26,0.0,0.0
2022-08-01,31.0,13,0.0,0.0
2022-08-02,20.0,10,0.0,0.0
2022-08-03,76.0,34,0.0,0.0
2022-08-04,18.0,13,0.0,0.0
2022-08-05,29.0,19,0.0,0.0
2022-08-06,8.0,5,0.0,0.0
2022-08-07,37.0,18,0.0,0.0
2022-08-08,25.0,16,0.0,0.0
2022-08-09,40.0,20,0.0,0.0
2022-08-10,41.0,24,0.0,0.0
2022-08-11,24.0,19,0.0,0.0
2022-08-12,48.0,25,0.0,0.0
2022-08-13,15.0,12,0.0,0.0
2022-08-14,35.0,20,0.0,0.0
2022-08-15,47.0,20,0.0,0.0
2022-08-16,24.0,14,0.0,0.0
2022-08-17,21.0,13,0.0,0.0
2022-08-18,37.0,27,0.0,0.0
2022-08-19,19.0,10,0.0,0.0
2022-08-20,42.0,24,0.0,0.0
2022-08-21,32.0,20,0.0,0.0
2022-08-22,25.0,18,0.0,0.0
2022-08-23,23.0,18,0.0,0.0
2022-08-24,22.0,16,0.0,0.0
2022-08-25,15.0,11,0.0,0.0
2022-08-26,38.0,17,0.0,0.0
2022-08-27,29.0,17,0.0,0.0
2022-08-28,42.0,23,0.0,0.0
2022-08-29,37.0,20,0.0,0.0
2022-08-30,24.0,13,0.0,0.0
2022-08-31,13.0,12,0.0,0.0
2022-09-01,31.0,19,0.0,0.0
2022-09-02,47.0,24,0.0,0.0
2022-09-03,49.0,23,0.0,0.0
2022-09-04,54.0,27,0.0,0.0
2022-09-05,32.0,22,0.0,0.0
2022-09-06,25.0,18,0.0,0.0
2022-09-07,7.0,7,0.0,0.0
2022-09-08,28.0,18,0.0,0.0
2022-09-09,63.0,27,0.0,0.0
2022-09-10,37.0,21,0.0,0.0
2022-09-11,32.0,23,0.0,0.0
2022-09-12,17.0,14,0.0,0.0
2022-09-13,15.0,8,0.0,0.0
2022-09-14,13.0,8,0.0,0.0
