support,itemsets
0.013553431798436143,"frozenset({'Tea', 'Coffee Base', 'Mie'})"
0.01364031277150304,"frozenset({'snack', 'Coffee Base', 'Mie'})"
0.010338835794960904,"frozenset({'snack', 'Milk Base', 'Mie'})"
0.02050390964378801,"frozenset({'snack', 'Tea', 'Mie'})"
0.016159860990443094,"frozenset({'snack', 'Signature', 'Mie'})"
0.011902693310165073,"frozenset({'Signature', 'Tea', 'Mie'})"
0.015117289313640312,"frozenset({'Mie', 'Tea', 'Maincourse'})"
0.011468288444830582,"frozenset({'snack', 'Mie', 'Maincourse'})"
0.011468288444830582,"frozenset({'Tea', 'Espresso based', 'Mie'})"
0.023457862728062554,"frozenset({'Coffee Base', 'Specialty'})"
0.017115551694178974,"frozenset({'Milk Base', 'Specialty'})"
0.010686359687228498,"frozenset({'Mie', 'Specialty'})"
0.026585577758470896,"frozenset({'Tea', 'Specialty'})"
0.016333622936576888,"frozenset({'Other', 'Specialty'})"
0.03970460469157255,"frozenset({'snack', 'Specialty'})"
0.01954821894005213,"frozenset({'Maincourse', 'Specialty'})"
0.023631624674196352,"frozenset({'Signature', 'Specialty'})"
0.015030408340573415,"frozenset({'Espresso based', 'Specialty'})"
0.01216333622936577,"frozenset({'snack', 'Tea', 'Specialty'})"
0.01103388357949609,"frozenset({'snack', 'Signature', 'Specialty'})"
0.07141615986099044,"frozenset({'Tea', 'Espresso based'})"
0.053431798436142486,"frozenset({'Espresso based', 'Coffee Base'})"
0.09739357080799305,"frozenset({'snack', 'Espresso based'})"
0.05430060816681147,"frozenset({'Signature', 'Espresso based'})"
0.030147697654213726,"frozenset({'snack', 'Tea', 'Espresso based'})"
0.014682884448305821,"frozenset({'Espresso based', 'Tea', 'Coffee Base'})"
0.0209383145091225,"frozenset({'Espresso based', 'snack', 'Coffee Base'})"
0.012250217202432667,"frozenset({'Signature', 'Tea', 'Espresso based'})"
0.024587315377932233,"frozenset({'snack', 'Signature', 'Espresso based'})"
0.015899218071242397,"frozenset({'Coffee Based', 'Snack'})"
0.01207645525629887,"frozenset({'Signature Based', 'Coffee Based'})"
0.0105125977410947,"frozenset({'Tea Based', 'Coffee Based'})"
0.026585577758470896,"frozenset({'Signature Based', 'Main Course'})"
0.021894005212858385,"frozenset({'Tea Based', 'Main Course'})"
0.021894005212858385,"frozenset({'Main Course', 'Snack'})"
0.012510860121633362,"frozenset({'Signature Based', 'Main Course', 'Snack'})"
0.013553431798436143,"frozenset({'Espresso Based', 'Main Course'})"
0.022328410078192876,"frozenset({'Espresso Based', 'Snack'})"
0.014422241529105127,"frozenset({'Espresso Based', 'Signature Based'})"
0.012945264986967854,"frozenset({'Tea Based', 'Espresso Based'})"
0.0105125977410947,"frozenset({'Main Course', 'Milk Based'})"
0.01685490877497828,"frozenset({'Signature Based', 'Milk Based'})"
0.023284100781928756,"frozenset({'Snack', 'Milk Based'})"
0.010686359687228498,"frozenset({'Tea Based', 'Milk Based'})"
0.010860121633362294,"frozenset({'Signature Based', 'Snack', 'Milk Based'})"
0.04630755864465682,"frozenset({'Signature Based', 'Snack'})"
0.028323197219808863,"frozenset({'Tea Based', 'Snack'})"
0.019721980886185927,"frozenset({'Tea Based', 'Signature Based'})"
0.010860121633362294,"frozenset({'Tea Based', 'Signature Based', 'Snack'})"
