support,itemsets
0.0070068545316070065,"frozenset({'Tahu tuna', 'Vietnam drip'})"
0.007463823305407464,"frozenset({'Tahu tuna', 'Kinasih'})"
0.00913937547600914,"frozenset({'Tahu tuna', 'Kopi susu ice'})"
0.0077684691546077685,"frozenset({'Tahu tuna', 'Cireng'})"
0.005026656511805026,"frozenset({'Arunika', 'Kentang goreng'})"
0.00891089108910891,"frozenset({'Arunika', 'Basreng'})"
0.010814927646610815,"frozenset({'Tubruk', 'Kopi susu ice'})"
0.007083015993907083,"frozenset({'Tubruk', 'Basreng'})"
0.011652703731911653,"frozenset({'Tubruk', 'Kentang goreng'})"
0.008301599390708302,"frozenset({'Tubruk', 'Lychee Tea ice'})"
0.005026656511805026,"frozenset({'Tubruk', 'Kinasih'})"
0.012033511043412033,"frozenset({'Kinasih', 'Kentang goreng'})"
0.013632901751713633,"frozenset({'Kinasih', 'Basreng'})"
0.009291698400609292,"frozenset({'Kopi susu ice', 'Kinasih'})"
0.0062452399086062454,"frozenset({'Lychee Tea ice', 'Kinasih'})"
0.008377760853008377,"frozenset({'Tubruk', 'Vietnam drip'})"
0.005026656511805026,"frozenset({'Vietnam drip', 'Kinasih'})"
0.01348057882711348,"frozenset({'Vietnam drip', 'Kentang goreng'})"
0.009977151561309978,"frozenset({'Kopi susu ice', 'Vietnam drip'})"
0.007920792079207921,"frozenset({'Vietnam drip', 'Basreng'})"
0.005864432597105864,"frozenset({'Lychee Tea ice', 'Vietnam drip'})"
0.007159177456207159,"frozenset({'Kinasih', 'Kirana'})"
0.008834729626808835,"frozenset({'Basreng', 'Kirana'})"
0.007616146230007616,"frozenset({'Kentang goreng', 'Kirana'})"
0.00654988575780655,"frozenset({'Tahu tuna', 'Kirana'})"
0.007083015993907083,"frozenset({'Cireng', 'Kirana'})"
0.005102817974105103,"frozenset({'Kentang goreng', 'Ajeng Hot'})"
0.007463823305407464,"frozenset({'Kentang goreng', 'V60'})"
0.005407463823305408,"frozenset({'Kinasih', 'Coklat ice'})"
0.005331302361005331,"frozenset({'Matcha ice', 'Coklat ice'})"
0.007083015993907083,"frozenset({'Basreng', 'Coklat ice'})"
0.006778370144706778,"frozenset({'Lychee Tea ice', 'Coklat ice'})"
0.012185833968012186,"frozenset({'Kentang goreng', 'Coklat ice'})"
0.006092916984006093,"frozenset({'Kopi susu ice', 'Coklat ice'})"
0.006397562833206398,"frozenset({'Cireng', 'Coklat ice'})"
0.005864432597105864,"frozenset({'Kinasih', 'Matcha ice'})"
0.009291698400609292,"frozenset({'Matcha ice', 'Basreng'})"
0.011576542269611577,"frozenset({'Kentang goreng', 'Matcha ice'})"
0.005940594059405941,"frozenset({'Lychee Tea ice', 'Matcha ice'})"
0.007311500380807311,"frozenset({'Kopi susu ice', 'Matcha ice'})"
0.005102817974105103,"frozenset({'Tahu tuna', 'Matcha ice'})"
0.006321401370906321,"frozenset({'Matcha ice', 'Cireng'})"
0.014394516374714394,"frozenset({'Kentang goreng', 'Basreng'})"
0.01728865194211729,"frozenset({'Kopi susu ice', 'Kentang goreng'})"
0.015613099771515614,"frozenset({'Lychee Tea ice', 'Kentang goreng'})"
0.010738766184310739,"frozenset({'Lemon Hot', 'Tubruk'})"
0.005331302361005331,"frozenset({'Lemon Hot', 'Tubruk Susu'})"
0.0077684691546077685,"frozenset({'Lemon Hot', 'Kentang goreng'})"
0.0057121096725057125,"frozenset({'Lemon Hot', 'Basreng'})"
0.005635948210205636,"frozenset({'Lemon Hot', 'Cireng'})"
0.005255140898705255,"frozenset({'Roti bakar coklat', 'Tubruk'})"
0.007996953541507998,"frozenset({'Roti bakar coklat', 'Kentang goreng'})"
0.0062452399086062454,"frozenset({'Roti bakar coklat', 'Lychee Tea ice'})"
0.005255140898705255,"frozenset({'Roti bakar coklat', 'Kinasih'})"
0.00913937547600914,"frozenset({'Roti bakar coklat', 'Kopi susu ice'})"
0.005255140898705255,"frozenset({'Roti bakar coklat', 'Cireng'})"
0.020792079207920793,"frozenset({'Lychee Tea ice', 'Basreng'})"
0.023229246001523228,"frozenset({'Lychee Tea ice', 'Kopi susu ice'})"
0.005940594059405941,"frozenset({'Lychee Tea ice', 'Kopi susu ice', 'Basreng'})"
0.01111957349581112,"frozenset({'Lychee Tea ice', 'Nasi gila'})"
0.007387661843107388,"frozenset({'Kinasih', 'Nasi gila'})"
0.007844630616907844,"frozenset({'Basreng', 'Nasi gila'})"
0.012033511043412033,"frozenset({'Kopi susu ice', 'Nasi gila'})"
0.005102817974105103,"frozenset({'Kentang goreng', 'Nasi gila'})"
0.00654988575780655,"frozenset({'Lemon Ice', 'Nasi gila'})"
0.0062452399086062454,"frozenset({'Cappucino', 'Basreng'})"
0.007311500380807311,"frozenset({'Cappucino', 'Kentang goreng'})"
0.005026656511805026,"frozenset({'Mie Goreng', 'Mie Rebus'})"
0.006854531607006854,"frozenset({'Lemon Hot', 'Nasi Goreng Jawa'})"
0.008377760853008377,"frozenset({'Lychee Tea ice', 'Nasi Goreng Jawa'})"
0.005102817974105103,"frozenset({'Tahu tuna', 'Nasi Goreng Jawa'})"
0.006854531607006854,"frozenset({'Kentang goreng', 'Nasi Goreng Jawa'})"
0.005255140898705255,"frozenset({'Kinasih', 'Nasi Goreng Jawa'})"
0.0070068545316070065,"frozenset({'Nasi gila', 'Nasi Goreng Jawa'})"
0.007083015993907083,"frozenset({'Tubruk', 'Nasi Goreng Jawa'})"
0.0070068545316070065,"frozenset({'Lemon Ice', 'Nasi Goreng Jawa'})"
