support,itemsets
0.0051883600270697045,"frozenset({'Ayam chili padi', 'Kopi susu ice'})"
0.006165877133619069,"frozenset({'Cappucino', 'Basreng'})"
0.01240694789081886,"frozenset({'Basreng', 'Cireng'})"
0.006993006993006993,"frozenset({'Basreng', 'Coklat ice'})"
0.005564328144973306,"frozenset({'Basreng', 'Donat'})"
0.007669749605233476,"frozenset({'Husgendam Hot', 'Basreng'})"
0.005113166403488984,"frozenset({'Husgendam Ice', 'Basreng'})"
0.014211594856756148,"frozenset({'Kentang goreng', 'Basreng'})"
0.013459658620948944,"frozenset({'Kinasih', 'Basreng'})"
0.008722460335363561,"frozenset({'Basreng', 'Kirana'})"
0.03173170915106399,"frozenset({'Kopi susu ice', 'Basreng'})"
0.005639521768554027,"frozenset({'Lemon Hot', 'Basreng'})"
0.008647266711782842,"frozenset({'Lemon Ice', 'Basreng'})"
0.020527859237536656,"frozenset({'Lychee Tea ice', 'Basreng'})"
0.005564328144973306,"frozenset({'Basreng', 'Lychee tea hot'})"
0.009173622076847883,"frozenset({'Matcha ice', 'Basreng'})"
0.006767426122264832,"frozenset({'Mie Goreng', 'Basreng'})"
0.007444168734491315,"frozenset({'Milk Tea Hot', 'Basreng'})"
0.006541845251522671,"frozenset({'Milk Tea Ice', 'Basreng'})"
0.0077449432288141965,"frozenset({'Basreng', 'Nasi gila'})"
0.00639145800436123,"frozenset({'Nirmala Hot', 'Basreng'})"
0.005263553650650425,"frozenset({'Red Velvet ice', 'Basreng'})"
0.007444168734491315,"frozenset({'Tahu tuna', 'Basreng'})"
0.006993006993006993,"frozenset({'Tubruk', 'Basreng'})"
0.006767426122264832,"frozenset({'Tubruk Susu', 'Basreng'})"
0.007820136852394917,"frozenset({'Vietnam drip', 'Basreng'})"
0.007218587863749154,"frozenset({'Cappucino', 'Kentang goreng'})"
0.00631626438078051,"frozenset({'Cireng', 'Coklat ice'})"
0.006917813369426273,"frozenset({'Husgendam Hot', 'Cireng'})"
0.006090683510038349,"frozenset({'Husgendam Ice', 'Cireng'})"
0.013309271373787504,"frozenset({'Kentang goreng', 'Cireng'})"
0.008872847582525002,"frozenset({'Kinasih', 'Cireng'})"
0.006993006993006993,"frozenset({'Cireng', 'Kirana'})"
0.011203849913527334,"frozenset({'Kopi susu ice', 'Cireng'})"
0.005564328144973306,"frozenset({'Lemon Hot', 'Cireng'})"
0.005639521768554027,"frozenset({'Lemon Ice', 'Cireng'})"
0.010376720054139409,"frozenset({'Lychee Tea ice', 'Cireng'})"
0.0062410707571997895,"frozenset({'Matcha ice', 'Cireng'})"
0.0054139408978118655,"frozenset({'Cireng', 'Nasi Goreng Jawa'})"
0.0051883600270697045,"frozenset({'Roti bakar coklat', 'Cireng'})"
0.005564328144973306,"frozenset({'Singkong keju', 'Cireng'})"
0.007669749605233476,"frozenset({'Tahu tuna', 'Cireng'})"
0.006767426122264832,"frozenset({'Tubruk', 'Cireng'})"
0.006842619745845552,"frozenset({'Tubruk Susu', 'Cireng'})"
0.00631626438078051,"frozenset({'Vietnam drip', 'Cireng'})"
0.008647266711782842,"frozenset({'Coklat Hot', 'Kentang goreng'})"
0.012030979772915257,"frozenset({'Kentang goreng', 'Coklat ice'})"
0.005338747274231145,"frozenset({'Kinasih', 'Coklat ice'})"
0.006015489886457628,"frozenset({'Kopi susu ice', 'Coklat ice'})"
0.006692232498684112,"frozenset({'Lychee Tea ice', 'Coklat ice'})"
0.005263553650650425,"frozenset({'Matcha ice', 'Coklat ice'})"
0.0054139408978118655,"frozenset({'Kentang goreng', 'Donat'})"
0.006165877133619069,"frozenset({'Kopi susu ice', 'Donat'})"
0.00842168584104068,"frozenset({'Husgendam Hot', 'Kentang goreng'})"
0.0075193623580720355,"frozenset({'Husgendam Hot', 'Kinasih'})"
0.005037972779908264,"frozenset({'Husgendam Hot', 'Kopi susu ice'})"
0.0054139408978118655,"frozenset({'Husgendam Hot', 'Singkong keju'})"
0.007068200616587713,"frozenset({'Husgendam Ice', 'Kinasih'})"
0.011880592525753816,"frozenset({'Kinasih', 'Kentang goreng'})"
0.0075193623580720355,"frozenset({'Kentang goreng', 'Kirana'})"
0.009399202947590045,"frozenset({'Kopi Susu Hot', 'Kentang goreng'})"
0.01706895255282352,"frozenset({'Kopi susu ice', 'Kentang goreng'})"
0.007669749605233476,"frozenset({'Lemon Hot', 'Kentang goreng'})"
0.0077449432288141965,"frozenset({'Lemon Ice', 'Kentang goreng'})"
0.015414692834047674,"frozenset({'Lychee Tea ice', 'Kentang goreng'})"
0.005338747274231145,"frozenset({'Kentang goreng', 'Lychee tea hot'})"
0.011429430784269494,"frozenset({'Matcha ice', 'Kentang goreng'})"
0.007218587863749154,"frozenset({'Mie Goreng', 'Kentang goreng'})"
0.00639145800436123,"frozenset({'Milk Tea Hot', 'Kentang goreng'})"
0.006767426122264832,"frozenset({'Kentang goreng', 'Nasi Goreng Jawa'})"
0.005037972779908264,"frozenset({'Kentang goreng', 'Nasi gila'})"
0.006015489886457628,"frozenset({'Red Velvet ice', 'Kentang goreng'})"
0.007895330475975638,"frozenset({'Roti bakar coklat', 'Kentang goreng'})"
0.009248815700428605,"frozenset({'Kentang goreng', 'Singkong keju'})"
0.012106173396495978,"frozenset({'Tahu tuna', 'Kentang goreng'})"
0.0062410707571997895,"frozenset({'Taro ice', 'Kentang goreng'})"
0.011504624407850215,"frozenset({'Tubruk', 'Kentang goreng'})"
0.011279043537108053,"frozenset({'Tubruk Susu', 'Kentang goreng'})"
0.007368975110910595,"frozenset({'Kentang goreng', 'V60'})"
0.013309271373787504,"frozenset({'Vietnam drip', 'Kentang goreng'})"
0.007068200616587713,"frozenset({'Kinasih', 'Kirana'})"
0.009173622076847883,"frozenset({'Kopi susu ice', 'Kinasih'})"
0.006165877133619069,"frozenset({'Lychee Tea ice', 'Kinasih'})"
0.005789909015715467,"frozenset({'Kinasih', 'Matcha ice'})"
0.0051883600270697045,"frozenset({'Kinasih', 'Nasi Goreng Jawa'})"
0.007293781487329874,"frozenset({'Kinasih', 'Nasi gila'})"
0.0051883600270697045,"frozenset({'Roti bakar coklat', 'Kinasih'})"
0.007368975110910595,"frozenset({'Tahu tuna', 'Kinasih'})"
0.0051883600270697045,"frozenset({'Tubruk Susu', 'Kinasih'})"
0.0064666516279419505,"frozenset({'Tahu tuna', 'Kirana'})"
0.007218587863749154,"frozenset({'Kopi Susu Hot', 'Tubruk'})"
0.007368975110910595,"frozenset({'Kopi susu ice', 'Lemon Ice'})"
0.022934055192119707,"frozenset({'Lychee Tea ice', 'Kopi susu ice'})"
0.007218587863749154,"frozenset({'Kopi susu ice', 'Matcha ice'})"
0.007820136852394917,"frozenset({'Mie Goreng', 'Kopi susu ice'})"
0.006165877133619069,"frozenset({'Kopi susu ice', 'Milk Tea Ice'})"
0.007218587863749154,"frozenset({'Kopi susu ice', 'Nasi Goreng Jawa'})"
0.011880592525753816,"frozenset({'Kopi susu ice', 'Nasi gila'})"
0.009023234829686443,"frozenset({'Roti bakar coklat', 'Kopi susu ice'})"
0.005338747274231145,"frozenset({'Kopi susu ice', 'Singkong keju'})"
0.009023234829686443,"frozenset({'Tahu tuna', 'Kopi susu ice'})"
0.01067749454846229,"frozenset({'Tubruk', 'Kopi susu ice'})"
0.0077449432288141965,"frozenset({'Kopi susu ice', 'Tubruk Susu'})"
0.009850364689074367,"frozenset({'Kopi susu ice', 'Vietnam drip'})"
0.005489134521392586,"frozenset({'Waffle vanilla', 'Kopi susu ice'})"
0.005338747274231145,"frozenset({'Lemon Hot', 'Mie Goreng'})"
0.006767426122264832,"frozenset({'Lemon Hot', 'Nasi Goreng Jawa'})"
0.010602300924881571,"frozenset({'Lemon Hot', 'Tubruk'})"
0.005263553650650425,"frozenset({'Lemon Hot', 'Tubruk Susu'})"
0.009023234829686443,"frozenset({'Lychee Tea ice', 'Lemon Ice'})"
0.006917813369426273,"frozenset({'Lemon Ice', 'Nasi Goreng Jawa'})"
0.0064666516279419505,"frozenset({'Lemon Ice', 'Nasi gila'})"
0.007068200616587713,"frozenset({'Tubruk', 'Lemon Ice'})"
0.005865102639296188,"frozenset({'Lychee Tea ice', 'Matcha ice'})"
0.009850364689074367,"frozenset({'Mie Goreng', 'Lychee Tea ice'})"
0.005113166403488984,"frozenset({'Lychee Tea ice', 'Mie goreng'})"
0.007594555981652756,"frozenset({'Lychee Tea ice', 'Milk Tea Ice'})"
0.005113166403488984,"frozenset({'Lychee Tea ice', 'Nasi Cumi Asin'})"
0.008271298593879239,"frozenset({'Lychee Tea ice', 'Nasi Goreng Jawa'})"
0.010978269042785172,"frozenset({'Lychee Tea ice', 'Nasi gila'})"
0.006165877133619069,"frozenset({'Roti bakar coklat', 'Lychee Tea ice'})"
0.006617038875103391,"frozenset({'Lychee Tea ice', 'Singkong keju'})"
0.00857207308820212,"frozenset({'Tahu tuna', 'Lychee Tea ice'})"
0.00819610497029852,"frozenset({'Tubruk', 'Lychee Tea ice'})"
0.005714715392134747,"frozenset({'Lychee Tea ice', 'Tubruk Susu'})"
0.005789909015715467,"frozenset({'Lychee Tea ice', 'Vietnam drip'})"
0.0051883600270697045,"frozenset({'Waffle vanilla', 'Lychee Tea ice'})"
