Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
7/11/25 5:02 PM,1-2940,Sale,Espresso Based,30004,Black Ice,,,1.000,17000.00,0.00,17000.00,5641.00,11359.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 4:00 PM,1-2939,Sale,Coffee Based,10002,Tubruk Susu,,,1.000,15000.00,0.00,15000.00,3054.00,11946.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 3:58 PM,1-2938,Sale,Tea Based,60004,Lychee Tea Ice,,,2.000,32000.00,0.00,32000.00,9950.00,22050.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:43 PM,1-2937,Sale,Espresso Based,30007,Latte Ice,,,1.000,27000.00,0.00,27000.00,9723.00,17277.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:26 PM,1-2936,Sale,Snack,80003,Kentang Goreng,,,1.000,15000.00,0.00,15000.00,7288.00,7712.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:22 PM,1-2935,Sale,Tea Based,60002,Lemon Ice,,,1.000,15000.00,0.00,15000.00,1783.00,13217.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:22 PM,1-2935,Sale,Main Course,12006,Ayam Mentega,,,1.000,26000.00,0.00,26000.00,10732.00,15268.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:21 PM,1-2934,Sale,Coffee Based,10001,Tubruk,,,1.000,15000.00,0.00,15000.00,2396.00,12604.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:21 PM,1-2934,Sale,Tea Based,60002,Lemon Ice,,,1.000,15000.00,0.00,15000.00,1783.00,13217.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 2:03 PM,1-2933,Sale,,10009,kasmaran,,,1.000,22000.00,0.00,22000.00,11000.00,11000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
